local_ts,esp_ts,gyro_x,gyro_y,gyro_z
2026-01-29 16:47:57.576,2026-01-29T09:47:57.063Z,0.0117,0.0078,-0.0059
2026-01-29 16:47:57.576,2026-01-29T09:47:57.073Z,0.0137,0.0039,-0.0078
2026-01-29 16:47:57.577,2026-01-29T09:47:57.083Z,0.0078,-0.0020,-0.0078
2026-01-29 16:47:57.605,2026-01-29T09:47:57.093Z,0.0078,-0.0137,-0.0059
2026-01-29 16:47:57.606,2026-01-29T09:47:57.103Z,0.0059,-0.0176,-0.0039
2026-01-29 16:47:57.607,2026-01-29T09:47:57.113Z,0.0098,-0.0117,-0.0020
2026-01-29 16:47:57.635,2026-01-29T09:47:57.123Z,0.0020,-0.0059,0.0000
2026-01-29 16:47:57.636,2026-01-29T09:47:57.133Z,0.0000,0.0078,0.0020
2026-01-29 16:47:57.637,2026-01-29T09:47:57.143Z,0.0000,0.0176,0.0020
2026-01-29 16:47:57.665,2026-01-29T09:47:57.153Z,0.0059,0.0254,0.0000
2026-01-29 16:47:57.667,2026-01-29T09:47:57.163Z,0.0137,0.0586,0.0020
2026-01-29 16:47:57.667,2026-01-29T09:47:57.173Z,0.0137,0.0938,0.0020
2026-01-29 16:47:57.695,2026-01-29T09:47:57.183Z,0.0254,0.1309,0.0059
2026-01-29 16:47:57.697,2026-01-29T09:47:57.193Z,0.0254,0.1816,0.0195
2026-01-29 16:47:57.697,2026-01-29T09:47:57.203Z,0.0078,0.1914,0.0352
2026-01-29 16:47:57.755,2026-01-29T09:47:57.213Z,0.0078,0.1953,0.0488
2026-01-29 16:47:57.785,2026-01-29T09:47:57.223Z,0.0059,0.1855,0.0469
2026-01-29 16:47:57.786,2026-01-29T09:47:57.233Z,0.0059,0.1602,0.0430
2026-01-29 16:47:57.786,2026-01-29T09:47:57.243Z,-0.0078,0.1484,0.0469
2026-01-29 16:47:57.788,2026-01-29T09:47:57.253Z,-0.0195,0.1152,0.0508
2026-01-29 16:47:57.788,2026-01-29T09:47:57.263Z,-0.0273,0.0859,0.0527
2026-01-29 16:47:57.788,2026-01-29T09:47:57.273Z,-0.0332,0.0508,0.0449
2026-01-29 16:47:57.816,2026-01-29T09:47:57.283Z,-0.0332,0.0332,0.0410
2026-01-29 16:47:57.817,2026-01-29T09:47:57.293Z,-0.0312,0.0488,0.0410
2026-01-29 16:47:57.817,2026-01-29T09:47:57.303Z,-0.0215,0.0801,0.0352
2026-01-29 16:47:57.818,2026-01-29T09:47:57.313Z,-0.0078,0.1309,0.0410
2026-01-29 16:47:57.818,2026-01-29T09:47:57.323Z,-0.0039,0.1582,0.0391
2026-01-29 16:47:57.848,2026-01-29T09:47:57.333Z,0.0020,0.1270,0.0352
2026-01-29 16:47:57.848,2026-01-29T09:47:57.343Z,0.0039,0.1016,0.0234
2026-01-29 16:47:57.878,2026-01-29T09:47:57.353Z,0.0098,0.1113,0.0215
2026-01-29 16:47:57.878,2026-01-29T09:47:57.363Z,0.0215,0.1445,0.0273
2026-01-29 16:47:57.878,2026-01-29T09:47:57.373Z,0.0293,0.1914,0.0312
2026-01-29 16:47:57.879,2026-01-29T09:47:57.383Z,0.0371,0.2285,0.0410
2026-01-29 16:47:57.906,2026-01-29T09:47:57.393Z,0.0312,0.2090,0.0430
2026-01-29 16:47:57.907,2026-01-29T09:47:57.403Z,0.0332,0.1816,0.0430
2026-01-29 16:47:57.907,2026-01-29T09:47:57.413Z,0.0312,0.1680,0.0430
2026-01-29 16:47:57.935,2026-01-29T09:47:57.423Z,0.0332,0.1543,0.0391
2026-01-29 16:47:57.938,2026-01-29T09:47:57.433Z,0.0273,0.1680,0.0430
2026-01-29 16:47:57.938,2026-01-29T09:47:57.443Z,0.0195,0.1816,0.0430
2026-01-29 16:47:57.996,2026-01-29T09:47:57.453Z,0.0195,0.1641,0.0430
2026-01-29 16:47:58.055,2026-01-29T09:47:57.463Z,0.0293,0.1230,0.0410
2026-01-29 16:47:58.057,2026-01-29T09:47:57.473Z,0.0195,0.0762,0.0430
2026-01-29 16:47:58.057,2026-01-29T09:47:57.483Z,0.0137,0.0664,0.0488
2026-01-29 16:47:58.177,2026-01-29T09:47:57.493Z,0.0293,0.0781,0.0449
2026-01-29 16:47:58.178,2026-01-29T09:47:57.503Z,0.0254,0.1113,0.0469
2026-01-29 16:47:58.178,2026-01-29T09:47:57.513Z,0.0273,0.1367,0.0488
2026-01-29 16:47:58.206,2026-01-29T09:47:57.523Z,0.0293,0.1445,0.0527
2026-01-29 16:47:58.295,2026-01-29T09:47:57.533Z,0.0332,0.1270,0.0605
2026-01-29 16:47:58.386,2026-01-29T09:47:57.543Z,0.0293,0.0977,0.0605
2026-01-29 16:47:58.388,2026-01-29T09:47:57.553Z,0.0352,0.0449,0.0605
2026-01-29 16:47:58.388,2026-01-29T09:47:57.563Z,0.0371,0.0059,0.0527
2026-01-29 16:47:58.389,2026-01-29T09:47:57.573Z,0.0488,0.0020,0.0488
2026-01-29 16:47:58.389,2026-01-29T09:47:57.583Z,0.0605,0.0234,0.0566
2026-01-29 16:47:58.389,2026-01-29T09:47:57.593Z,0.0625,0.0391,0.0684
2026-01-29 16:47:58.448,2026-01-29T09:47:57.603Z,0.0684,0.0605,0.0703
2026-01-29 16:47:58.448,2026-01-29T09:47:57.613Z,0.0742,0.0762,0.0762
2026-01-29 16:47:58.449,2026-01-29T09:47:57.623Z,0.0840,0.0762,0.0742
2026-01-29 16:47:58.536,2026-01-29T09:47:57.633Z,0.0762,0.0566,0.0762
2026-01-29 16:47:58.537,2026-01-29T09:47:57.643Z,0.0703,0.0156,0.0762
2026-01-29 16:47:58.597,2026-01-29T09:47:57.653Z,0.0801,-0.0078,0.0723
2026-01-29 16:47:58.597,2026-01-29T09:47:57.663Z,0.0801,-0.0195,0.0703
2026-01-29 16:47:58.597,2026-01-29T09:47:57.693Z,0.1016,-0.0059,0.0762
2026-01-29 16:47:58.626,2026-01-29T09:47:57.703Z,0.1094,-0.0156,0.0801
2026-01-29 16:47:58.626,2026-01-29T09:47:57.723Z,0.1328,-0.0020,0.0840
2026-01-29 16:47:58.866,2026-01-29T09:47:57.813Z,0.2168,0.0918,0.1211
2026-01-29 16:47:58.867,2026-01-29T09:47:57.903Z,0.3359,0.0898,0.1191
2026-01-29 16:47:58.867,2026-01-29T09:47:57.913Z,0.3516,0.1016,0.1191
2026-01-29 16:47:58.926,2026-01-29T09:47:57.923Z,0.3652,0.1055,0.1152
2026-01-29 16:47:58.927,2026-01-29T09:47:57.933Z,0.3809,0.1328,0.1074
2026-01-29 16:47:58.927,2026-01-29T09:47:57.943Z,0.3965,0.1602,0.1035
2026-01-29 16:47:58.928,2026-01-29T09:47:57.953Z,0.4141,0.1836,0.1035
2026-01-29 16:47:58.928,2026-01-29T09:47:57.963Z,0.4277,0.1855,0.1016
2026-01-29 16:47:58.928,2026-01-29T09:47:57.973Z,0.4336,0.1602,0.0938
2026-01-29 16:47:58.929,2026-01-29T09:47:57.983Z,0.4512,0.1504,0.0918
2026-01-29 16:47:58.930,2026-01-29T09:47:58.053Z,0.5195,0.2715,0.0840
2026-01-29 16:47:58.930,2026-01-29T09:47:58.063Z,0.5195,0.2559,0.0781
2026-01-29 16:47:58.956,2026-01-29T09:47:58.113Z,0.5625,0.2891,0.0684
2026-01-29 16:47:58.957,2026-01-29T09:47:58.123Z,0.5781,0.2891,0.0547
2026-01-29 16:47:58.985,2026-01-29T09:47:58.133Z,0.5918,0.2148,0.0215
2026-01-29 16:47:58.987,2026-01-29T09:47:58.143Z,0.5859,0.1621,0.0098
2026-01-29 16:47:58.988,2026-01-29T09:47:58.153Z,0.5645,0.0527,-0.0039
2026-01-29 16:47:58.988,2026-01-29T09:47:58.383Z,0.0176,-1.0879,0.0938
2026-01-29 16:47:58.988,2026-01-29T09:47:58.393Z,-0.1445,-1.9316,0.1289
2026-01-29 16:47:58.989,2026-01-29T09:47:58.403Z,-0.3867,-2.8164,0.0586
2026-01-29 16:47:58.989,2026-01-29T09:47:58.413Z,-0.6562,-3.4297,-0.0215
2026-01-29 16:47:58.989,2026-01-29T09:47:58.443Z,-0.7812,-3.8379,0.2207
2026-01-29 16:47:58.992,2026-01-29T09:47:58.453Z,-0.7207,-3.4902,0.3828
2026-01-29 16:47:59.018,2026-01-29T09:47:58.463Z,-0.6328,-2.9160,0.5430
2026-01-29 16:47:59.105,2026-01-29T09:47:58.473Z,-0.5469,-2.3535,0.6641
2026-01-29 16:47:59.107,2026-01-29T09:47:58.483Z,-0.5156,-1.6406,0.7520
2026-01-29 16:47:59.107,2026-01-29T09:47:58.493Z,-0.4980,-0.7812,0.9609
2026-01-29 16:47:59.107,2026-01-29T09:47:58.503Z,-0.4062,-0.2031,1.2168
2026-01-29 16:47:59.110,2026-01-29T09:47:58.513Z,-0.4707,0.0664,1.4199
2026-01-29 16:47:59.110,2026-01-29T09:47:58.523Z,-0.7168,0.3359,1.5488
2026-01-29 16:47:59.139,2026-01-29T09:47:58.533Z,-0.7402,0.5234,1.3125
2026-01-29 16:47:59.139,2026-01-29T09:47:58.543Z,-0.1211,0.5527,0.5625
2026-01-29 16:47:59.140,2026-01-29T09:47:58.553Z,0.5371,0.3301,-0.1816
2026-01-29 16:47:59.168,2026-01-29T09:47:58.563Z,0.6250,-0.2227,-0.5664
2026-01-29 16:47:59.169,2026-01-29T09:47:58.573Z,0.5117,-0.8242,-0.3770
2026-01-29 16:47:59.169,2026-01-29T09:47:58.583Z,0.1992,-0.6973,0.0938
2026-01-29 16:47:59.169,2026-01-29T09:47:58.593Z,-0.1035,-0.4551,0.4219
2026-01-29 16:47:59.169,2026-01-29T09:47:58.603Z,-0.2266,-0.5566,0.4258
2026-01-29 16:47:59.169,2026-01-29T09:47:58.613Z,-0.1953,-0.7480,0.2539
2026-01-29 16:47:59.197,2026-01-29T09:47:58.623Z,-0.0742,-0.6855,0.0508
2026-01-29 16:47:59.198,2026-01-29T09:47:58.633Z,0.0195,-0.2227,-0.0742
2026-01-29 16:47:59.198,2026-01-29T09:47:58.643Z,0.0449,0.2773,-0.1055
2026-01-29 16:47:59.198,2026-01-29T09:47:58.653Z,0.0078,0.7383,-0.0527
2026-01-29 16:47:59.198,2026-01-29T09:47:58.663Z,-0.0449,1.1426,0.0820
2026-01-29 16:47:59.228,2026-01-29T09:47:58.673Z,-0.0332,1.4199,0.2227
2026-01-29 16:47:59.228,2026-01-29T09:47:58.683Z,0.0000,1.5195,0.3184
2026-01-29 16:47:59.228,2026-01-29T09:47:58.693Z,0.0020,1.4492,0.3203
2026-01-29 16:47:59.228,2026-01-29T09:47:58.703Z,0.0156,1.2188,0.2578
2026-01-29 16:47:59.229,2026-01-29T09:47:58.713Z,0.0371,0.8574,0.1836
2026-01-29 16:47:59.255,2026-01-29T09:47:58.723Z,0.0117,0.4414,0.1211
2026-01-29 16:47:59.257,2026-01-29T09:47:58.733Z,-0.0312,0.0645,0.0996
2026-01-29 16:47:59.258,2026-01-29T09:47:58.743Z,-0.0586,-0.3359,0.0723
2026-01-29 16:47:59.258,2026-01-29T09:47:58.753Z,-0.0918,-0.6719,0.0469
2026-01-29 16:47:59.258,2026-01-29T09:47:58.763Z,-0.1133,-0.9023,0.0371
2026-01-29 16:47:59.288,2026-01-29T09:47:58.773Z,-0.1152,-1.0156,0.0410
2026-01-29 16:47:59.289,2026-01-29T09:47:58.783Z,-0.1289,-1.0352,0.0332
2026-01-29 16:47:59.289,2026-01-29T09:47:58.793Z,-0.1504,-0.8945,0.0352
2026-01-29 16:47:59.316,2026-01-29T09:47:58.803Z,-0.1406,-0.6484,0.0410
2026-01-29 16:47:59.405,2026-01-29T09:47:58.813Z,-0.1523,-0.3945,0.0469
2026-01-29 16:47:59.496,2026-01-29T09:47:58.823Z,-0.1621,-0.0781,0.0898
2026-01-29 16:47:59.496,2026-01-29T09:47:58.833Z,-0.1035,0.1621,0.1328
2026-01-29 16:47:59.498,2026-01-29T09:47:58.843Z,-0.0547,0.1465,0.1133
2026-01-29 16:47:59.499,2026-01-29T09:47:58.853Z,-0.0918,0.0918,0.0840
2026-01-29 16:47:59.499,2026-01-29T09:47:58.863Z,-0.0840,0.1523,0.0645
2026-01-29 16:47:59.501,2026-01-29T09:47:58.873Z,-0.0508,0.0566,-0.0137
2026-01-29 16:47:59.501,2026-01-29T09:47:58.883Z,-0.0742,0.0742,-0.0898
2026-01-29 16:47:59.556,2026-01-29T09:47:58.893Z,-0.0918,0.1250,-0.1426
2026-01-29 16:47:59.557,2026-01-29T09:47:58.903Z,-0.1172,0.3965,-0.1641
2026-01-29 16:47:59.557,2026-01-29T09:47:58.913Z,-0.0566,0.9551,-0.1328
2026-01-29 16:47:59.645,2026-01-29T09:47:58.923Z,0.0215,1.4629,-0.0996
2026-01-29 16:47:59.647,2026-01-29T09:47:58.933Z,0.0352,1.8223,-0.0977
2026-01-29 16:47:59.647,2026-01-29T09:47:58.943Z,0.0039,2.1152,-0.1055
2026-01-29 16:47:59.647,2026-01-29T09:47:58.953Z,0.0039,2.2344,-0.1328
2026-01-29 16:47:59.648,2026-01-29T09:47:58.963Z,0.0391,2.0977,-0.1738
2026-01-29 16:47:59.649,2026-01-29T09:47:58.973Z,0.0430,1.8105,-0.2051
2026-01-29 16:47:59.705,2026-01-29T09:47:58.983Z,0.0078,1.4766,-0.2285
2026-01-29 16:47:59.707,2026-01-29T09:47:59.013Z,-0.1055,0.6895,-0.2402
2026-01-29 16:47:59.707,2026-01-29T09:47:59.023Z,-0.1250,0.5508,-0.1992
2026-01-29 16:47:59.708,2026-01-29T09:47:59.033Z,-0.1465,0.5508,-0.1543
2026-01-29 16:47:59.708,2026-01-29T09:47:59.043Z,-0.1113,0.5176,-0.1660
2026-01-29 16:47:59.709,2026-01-29T09:47:59.053Z,-0.0508,0.3438,-0.2188
2026-01-29 16:47:59.709,2026-01-29T09:47:59.063Z,-0.0449,0.1738,-0.2617
2026-01-29 16:47:59.712,2026-01-29T09:47:59.073Z,-0.0977,0.0938,-0.2754
2026-01-29 16:47:59.796,2026-01-29T09:47:59.083Z,-0.1191,0.0547,-0.2363
2026-01-29 16:48:00.005,2026-01-29T09:47:59.093Z,-0.1094,0.0312,-0.1719
2026-01-29 16:48:00.007,2026-01-29T09:47:59.103Z,-0.1172,0.0410,-0.1367
2026-01-29 16:48:00.008,2026-01-29T09:47:59.163Z,-0.1250,-0.1211,-0.0703
2026-01-29 16:48:00.008,2026-01-29T09:47:59.173Z,-0.1211,-0.0723,-0.0469
2026-01-29 16:48:00.037,2026-01-29T09:47:59.183Z,-0.1445,-0.0273,-0.0449
2026-01-29 16:48:00.038,2026-01-29T09:47:59.193Z,-0.2012,-0.0449,-0.0840
2026-01-29 16:48:00.038,2026-01-29T09:47:59.203Z,-0.2324,0.0176,-0.0918
2026-01-29 16:48:00.039,2026-01-29T09:47:59.213Z,-0.2168,0.1035,-0.0449
2026-01-29 16:48:00.039,2026-01-29T09:47:59.223Z,-0.2559,0.1719,-0.0098
2026-01-29 16:48:00.039,2026-01-29T09:47:59.233Z,-0.3047,0.2461,-0.0020
2026-01-29 16:48:00.039,2026-01-29T09:47:59.243Z,-0.2832,0.3008,-0.0059
2026-01-29 16:48:00.039,2026-01-29T09:47:59.253Z,-0.2520,0.3027,-0.0117
2026-01-29 16:48:00.041,2026-01-29T09:47:59.263Z,-0.2695,0.2207,-0.0332
2026-01-29 16:48:00.097,2026-01-29T09:47:59.273Z,-0.3066,0.0977,-0.0664
2026-01-29 16:48:00.098,2026-01-29T09:47:59.283Z,-0.3047,-0.0586,-0.1133
2026-01-29 16:48:00.098,2026-01-29T09:47:59.293Z,-0.2754,-0.2168,-0.1484
2026-01-29 16:48:00.098,2026-01-29T09:47:59.313Z,-0.2832,-0.3418,-0.1602
2026-01-29 16:48:00.099,2026-01-29T09:47:59.463Z,0.0801,0.7461,0.0586
2026-01-29 16:48:00.099,2026-01-29T09:47:59.523Z,0.0957,0.5020,-0.0527
2026-01-29 16:48:00.099,2026-01-29T09:47:59.533Z,0.0898,0.4023,-0.0781
2026-01-29 16:48:00.099,2026-01-29T09:47:59.543Z,0.0957,0.3535,-0.0977
2026-01-29 16:48:00.101,2026-01-29T09:47:59.553Z,0.1152,0.2910,-0.0957
2026-01-29 16:48:00.186,2026-01-29T09:47:59.563Z,0.1348,0.2832,-0.0938
2026-01-29 16:48:00.188,2026-01-29T09:47:59.573Z,0.1582,0.3203,-0.0879
2026-01-29 16:48:00.217,2026-01-29T09:47:59.583Z,0.1719,0.3691,-0.0957
2026-01-29 16:48:00.217,2026-01-29T09:47:59.593Z,0.1777,0.4082,-0.1074
2026-01-29 16:48:00.217,2026-01-29T09:47:59.603Z,0.1797,0.4473,-0.1406
2026-01-29 16:48:00.245,2026-01-29T09:47:59.613Z,0.1895,0.4570,-0.1465
2026-01-29 16:48:00.247,2026-01-29T09:47:59.623Z,0.2051,0.3926,-0.1602
2026-01-29 16:48:00.247,2026-01-29T09:47:59.633Z,0.2500,0.3789,-0.1738
2026-01-29 16:48:00.247,2026-01-29T09:47:59.643Z,0.2754,0.3809,-0.1836
2026-01-29 16:48:00.248,2026-01-29T09:47:59.653Z,0.2832,0.3613,-0.1934
2026-01-29 16:48:00.249,2026-01-29T09:47:59.663Z,0.3066,0.3320,-0.2227
2026-01-29 16:48:00.249,2026-01-29T09:47:59.673Z,0.3281,0.2656,-0.2656
2026-01-29 16:48:00.249,2026-01-29T09:47:59.683Z,0.3398,0.2246,-0.3008
2026-01-29 16:48:00.251,2026-01-29T09:47:59.693Z,0.3555,0.1758,-0.3379
2026-01-29 16:48:00.276,2026-01-29T09:47:59.703Z,0.3711,0.1699,-0.3848
2026-01-29 16:48:00.276,2026-01-29T09:47:59.713Z,0.4004,0.2246,-0.4297
2026-01-29 16:48:00.277,2026-01-29T09:47:59.723Z,0.4199,0.2891,-0.4648
2026-01-29 16:48:00.278,2026-01-29T09:47:59.733Z,0.4590,0.3574,-0.5664
2026-01-29 16:48:00.306,2026-01-29T09:47:59.743Z,0.4590,0.3574,-0.5664
2026-01-29 16:48:00.307,2026-01-29T09:47:59.753Z,0.4922,0.3203,-0.6230
2026-01-29 16:48:00.307,2026-01-29T09:47:59.763Z,0.5391,0.2715,-0.6934
2026-01-29 16:48:00.396,2026-01-29T09:47:59.773Z,0.6602,0.3223,-0.8281
2026-01-29 16:48:00.397,2026-01-29T09:47:59.783Z,0.6602,0.3223,-0.8281
2026-01-29 16:48:00.398,2026-01-29T09:47:59.793Z,0.6855,0.5527,-0.9434
2026-01-29 16:48:00.398,2026-01-29T09:47:59.803Z,0.6914,0.7207,-0.9902
2026-01-29 16:48:00.398,2026-01-29T09:47:59.813Z,0.6973,0.8691,-1.0469
2026-01-29 16:48:00.399,2026-01-29T09:47:59.823Z,0.6934,0.9844,-1.1289
2026-01-29 16:48:00.426,2026-01-29T09:47:59.833Z,0.6738,1.0332,-1.2129
2026-01-29 16:48:00.427,2026-01-29T09:47:59.843Z,0.6816,1.0898,-1.2871
2026-01-29 16:48:00.428,2026-01-29T09:47:59.853Z,0.6797,1.0742,-1.3574
2026-01-29 16:48:00.429,2026-01-29T09:47:59.863Z,0.6348,0.9590,-1.4570
2026-01-29 16:48:00.429,2026-01-29T09:47:59.873Z,0.5801,0.7988,-1.5430
2026-01-29 16:48:00.429,2026-01-29T09:47:59.883Z,0.5273,0.6777,-1.5762
2026-01-29 16:48:00.429,2026-01-29T09:47:59.893Z,0.5293,0.5977,-1.6016
2026-01-29 16:48:00.430,2026-01-29T09:47:59.903Z,0.5723,0.4629,-1.6348
2026-01-29 16:48:00.430,2026-01-29T09:47:59.913Z,0.5820,0.2656,-1.6602
2026-01-29 16:48:00.456,2026-01-29T09:47:59.923Z,0.5234,0.1582,-1.6250
2026-01-29 16:48:00.456,2026-01-29T09:47:59.933Z,0.4922,0.0566,-1.5391
2026-01-29 16:48:00.456,2026-01-29T09:47:59.943Z,0.4922,0.0566,-1.5391
2026-01-29 16:48:00.458,2026-01-29T09:47:59.953Z,0.6289,-0.4316,-1.3379
2026-01-29 16:48:00.486,2026-01-29T09:47:59.963Z,0.7246,-0.6562,-1.2168
2026-01-29 16:48:00.487,2026-01-29T09:47:59.973Z,0.7246,-0.6562,-1.2168
2026-01-29 16:48:00.487,2026-01-29T09:47:59.983Z,0.7539,-1.2129,-1.0488
2026-01-29 16:48:00.488,2026-01-29T09:47:59.993Z,0.6465,-1.4258,-0.9355
2026-01-29 16:48:00.516,2026-01-29T09:48:00.003Z,0.4805,-1.6289,-0.7930
2026-01-29 16:48:00.545,2026-01-29T09:48:00.013Z,0.2812,-1.6328,-0.5762
2026-01-29 16:48:00.547,2026-01-29T09:48:00.023Z,0.1621,-1.3574,-0.2852
2026-01-29 16:48:00.547,2026-01-29T09:48:00.034Z,0.1699,-1.1074,-0.0098
2026-01-29 16:48:00.547,2026-01-29T09:48:00.045Z,0.2188,-0.8672,0.2324
2026-01-29 16:48:00.548,2026-01-29T09:48:00.055Z,0.2578,-0.6641,0.4453
2026-01-29 16:48:00.728,2026-01-29T09:48:00.065Z,0.2617,-0.5664,0.6426
2026-01-29 16:48:00.728,2026-01-29T09:48:00.075Z,0.2031,-0.6367,0.8027
2026-01-29 16:48:00.728,2026-01-29T09:48:00.085Z,0.0820,-0.8926,0.9082
2026-01-29 16:48:00.729,2026-01-29T09:48:00.095Z,-0.0801,-1.1074,1.0039
2026-01-29 16:48:00.730,2026-01-29T09:48:00.105Z,-0.2422,-1.2773,1.0859
2026-01-29 16:48:00.730,2026-01-29T09:48:00.115Z,-0.4062,-1.4961,1.1328
2026-01-29 16:48:00.730,2026-01-29T09:48:00.125Z,-0.5059,-1.6211,1.1738
2026-01-29 16:48:00.730,2026-01-29T09:48:00.135Z,-0.4941,-1.6445,1.2168
2026-01-29 16:48:00.730,2026-01-29T09:48:00.145Z,-0.4551,-1.4902,1.2617
2026-01-29 16:48:00.756,2026-01-29T09:48:00.155Z,-0.3848,-1.1602,1.3223
2026-01-29 16:48:00.757,2026-01-29T09:48:00.165Z,-0.3105,-0.7871,1.3965
2026-01-29 16:48:00.785,2026-01-29T09:48:00.175Z,-0.2559,-0.4824,1.4785
2026-01-29 16:48:00.786,2026-01-29T09:48:00.185Z,-0.2285,-0.2578,1.5547
2026-01-29 16:48:00.786,2026-01-29T09:48:00.195Z,-0.2441,-0.1426,1.5859
2026-01-29 16:48:00.788,2026-01-29T09:48:00.205Z,-0.3008,-0.1641,1.6016
2026-01-29 16:48:00.788,2026-01-29T09:48:00.215Z,-0.3672,-0.2539,1.6211
2026-01-29 16:48:00.789,2026-01-29T09:48:00.225Z,-0.4531,-0.3887,1.6152
2026-01-29 16:48:00.789,2026-01-29T09:48:00.235Z,-0.5195,-0.5645,1.5703
2026-01-29 16:48:00.790,2026-01-29T09:48:00.245Z,-0.6074,-0.6250,1.4922
2026-01-29 16:48:00.790,2026-01-29T09:48:00.255Z,-0.6797,-0.4727,1.4414
2026-01-29 16:48:00.816,2026-01-29T09:48:00.265Z,-0.6953,-0.2422,1.3945
2026-01-29 16:48:00.875,2026-01-29T09:48:00.275Z,-0.6973,-0.1152,1.3477
2026-01-29 16:48:00.877,2026-01-29T09:48:00.285Z,-0.6738,0.0938,1.3027
2026-01-29 16:48:00.877,2026-01-29T09:48:00.295Z,-0.6426,0.3027,1.2617
2026-01-29 16:48:00.878,2026-01-29T09:48:00.305Z,-0.6035,0.3516,1.1855
2026-01-29 16:48:00.878,2026-01-29T09:48:00.315Z,-0.5625,0.3594,1.1250
2026-01-29 16:48:00.879,2026-01-29T09:48:00.325Z,-0.5586,0.3730,1.1055
2026-01-29 16:48:00.879,2026-01-29T09:48:00.335Z,-0.5430,0.2539,1.0410
2026-01-29 16:48:00.879,2026-01-29T09:48:00.345Z,-0.5449,0.1699,0.9414
2026-01-29 16:48:00.881,2026-01-29T09:48:00.355Z,-0.5469,0.2285,0.8301
2026-01-29 16:48:00.907,2026-01-29T09:48:00.365Z,-0.5176,0.2793,0.7188
2026-01-29 16:48:00.908,2026-01-29T09:48:00.375Z,-0.4785,0.3691,0.5469
2026-01-29 16:48:00.908,2026-01-29T09:48:00.385Z,-0.3809,0.4121,0.3145
2026-01-29 16:48:00.965,2026-01-29T09:48:00.395Z,-0.2070,0.4922,0.0117
2026-01-29 16:48:00.967,2026-01-29T09:48:00.405Z,0.0371,0.5195,-0.3320
2026-01-29 16:48:00.968,2026-01-29T09:48:00.415Z,0.2285,0.4473,-0.4531
2026-01-29 16:48:01.055,2026-01-29T09:48:00.425Z,0.3184,0.2891,-0.2500
2026-01-29 16:48:01.057,2026-01-29T09:48:00.435Z,0.2539,-0.0039,0.1797
2026-01-29 16:48:01.057,2026-01-29T09:48:00.445Z,0.1035,-0.3965,0.5840
2026-01-29 16:48:01.057,2026-01-29T09:48:00.455Z,-0.0645,-0.8555,0.7070
2026-01-29 16:48:01.058,2026-01-29T09:48:00.465Z,-0.2598,-1.2949,0.3965
2026-01-29 16:48:01.059,2026-01-29T09:48:00.475Z,-0.2324,-1.5137,-0.1426
2026-01-29 16:48:01.059,2026-01-29T09:48:00.485Z,-0.0254,-1.3301,-0.3652
2026-01-29 16:48:01.059,2026-01-29T09:48:00.495Z,0.1270,-0.7422,-0.1895
2026-01-29 16:48:01.062,2026-01-29T09:48:00.505Z,0.1133,-0.0723,0.1211
2026-01-29 16:48:01.088,2026-01-29T09:48:00.515Z,-0.0391,0.4922,0.3008
2026-01-29 16:48:01.089,2026-01-29T09:48:00.525Z,-0.0801,0.8867,0.3320
2026-01-29 16:48:01.089,2026-01-29T09:48:00.535Z,-0.0547,1.0488,0.2656
2026-01-29 16:48:01.089,2026-01-29T09:48:00.545Z,-0.0020,1.0352,0.1641
2026-01-29 16:48:01.089,2026-01-29T09:48:00.555Z,0.0391,0.9004,0.1094
2026-01-29 16:48:01.089,2026-01-29T09:48:00.565Z,0.0078,0.6621,0.0469
2026-01-29 16:48:01.091,2026-01-29T09:48:00.575Z,-0.0781,0.4648,-0.0195
2026-01-29 16:48:01.091,2026-01-29T09:48:00.585Z,-0.1562,0.0859,-0.0977
2026-01-29 16:48:01.092,2026-01-29T09:48:00.595Z,-0.1660,-0.3008,-0.1621
2026-01-29 16:48:01.117,2026-01-29T09:48:00.605Z,-0.1465,-0.5762,-0.2031
2026-01-29 16:48:01.117,2026-01-29T09:48:00.615Z,-0.1250,-0.6211,-0.2129
2026-01-29 16:48:01.117,2026-01-29T09:48:00.625Z,-0.1484,-0.6504,-0.1973
2026-01-29 16:48:01.145,2026-01-29T09:48:00.635Z,-0.1543,-0.5273,-0.1914
2026-01-29 16:48:01.147,2026-01-29T09:48:00.645Z,-0.1230,-0.3613,-0.1973
2026-01-29 16:48:01.148,2026-01-29T09:48:00.655Z,-0.0625,-0.2383,-0.1445
2026-01-29 16:48:01.205,2026-01-29T09:48:00.665Z,-0.0098,-0.1289,-0.1055
2026-01-29 16:48:01.207,2026-01-29T09:48:00.675Z,0.0059,-0.0859,-0.0996
2026-01-29 16:48:01.207,2026-01-29T09:48:00.685Z,0.0312,-0.0508,-0.1016
2026-01-29 16:48:01.207,2026-01-29T09:48:00.695Z,0.0488,-0.0215,-0.1230
2026-01-29 16:48:01.207,2026-01-29T09:48:00.705Z,0.0625,-0.0137,-0.1641
2026-01-29 16:48:01.209,2026-01-29T09:48:00.715Z,0.0762,0.0137,-0.1445
2026-01-29 16:48:01.237,2026-01-29T09:48:00.725Z,0.0957,0.1094,-0.0938
2026-01-29 16:48:01.237,2026-01-29T09:48:00.735Z,0.1445,0.2539,-0.0449
2026-01-29 16:48:01.237,2026-01-29T09:48:00.745Z,0.1973,0.3984,-0.0215
